ID,Titre,Profil,Date_Creation,Entreprise,Type_Contrat,Experience,Qualification,Salaire_Min,Salaire_Max,Salaire_Moyen,Ville,Code_Dept,Region,Secteur,Description
0892826,Assistant Business Intelligence Analyst (H/F/X),Business Intelligence,2026-03-28,,CDD,Débutant,Employé qualifié,20000.0,20000.0,20000.0,Brest,29,Bretagne,Autres intermédiations monétaires,"Au sein de la Direction Innovation Pilotage Engagement, le département Pilotage et Efficacité a pour mission de piloter le maintien des coûts et la transformation du modèle opérationnel d'Arkea SI.
Le service Gouvernance des plans propose, anime et pilote une gouvernance des activités IT d'Arkéa SI. Son rôle est de définir les standards de gouvernance et d'apporter une expertise dans le pilotage du plan IT. 
D'une part, il met en perspective les investissements faits et résultats obtenus au rega"
0883193,Développeur BI (H/F),Business Intelligence,2026-03-28,,CDI,Débutant,,,,,Non précisé,95,Île-de-France,Non précisé,"Description du poste :
En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums.
L'entreprise Atos recherche actuellement des profils Missions et responsabilités :
Rattaché(e) au Head of Sales Cloud, Data & IA, vous contribuez activement au développement commercial des offres Data & Intelligence Artificiell"
206DGFC,VRCONSULTING (H/F),Business Intelligence,2026-03-28,VR CONSULTING,CDI,Débutant,Employé qualifié,,,,Paris,75,Île-de-France,Gestion d'installations informatiques,"Recueil des besoins (Collecte des exigences)
Identifier et comprendre les besoins des clients ou des parties prenantes
Organiser des réunions, interviews et ateliers
Recueillir les exigences fonctionnelles et non fonctionnelles
 2. Analyse des besoins
Analyser et structurer les informations collectées
Identifier les incohérences, risques ou lacunes
Transformer les besoins métiers en spécifications claires
3. Rédaction de la documentation
Rédiger des documents tels que :
Cahier des charges (BRD)
"
0880288,(H/F) Consultant BI Qlik Sense,Business Intelligence,2026-03-28,Adsearch,CDI,3-5 ans,,27000.0,33000.0,30000.0,Lyon,69,Auvergne-Rhône-Alpes,Non précisé,"Adsearch, cabinet de conseil en recrutement, vous propose un poste de Consultant BI Qlik Sense chez son client final.
Poste :
Vous rejoignez un client final dans le domaine de l'intérim et du recrutement.
Ce groupe de 2000 collaborateurs comprend une DSI interne de 70 personnes.
Cette DSI travaille au quotidien pour créer et améliorer des outils et applications internes visant à répondre au mieux aux besoins des utilisateurs.
Dans ce cadre nous recherchons un consultant BI spécialisé Qlik Sense."
0833745,Business Analyst H/F,Business Intelligence,2026-03-27,,CDD,6+ ans,,40000.0,45000.0,42500.0,Mérignac,33,Nouvelle-Aquitaine,Assurance vie,"Rejoignez la Direction Individuelles de GGVIE dans le cadre du projet stratégique ""?Pwie?"", visant à construire le poste de travail nouvelle génération pour les gestionnaires et les équipes Relation Client.
Pour accompagner les phases amont du projet, le service Poste de travail du gestionnaire & Flux recherche un(e) Business Analyst en CDD (5mois), chargé(e) de structurer, formaliser et sécuriser les besoins avant leur transmission aux équipes Produit et Delivery.

Vos missions :
En tant que Bu"
0808197,Alternance Business developer Life sciences - Levallois-Perret (F/H) (H/F),Business Intelligence,2026-03-26,,CDD,Débutant,,,,,Levallois-Perret,92,Île-de-France,Non précisé,"Rattaché(e) directement au Directeur Associé, tu seras un acteur clé du développement de notre activité Life Sciences :1. Développement commercial - Ton terrain de jeu
Identifier et prospecter de nouveaux clients dans l'écosystème santé : laboratoires pharmaceutiques, biotechs, medtechs, CRO, hôpitauxDéployer la stratégie : LinkedIn, phoning, networking, salons professionnels
Développer et fidéliser un portefeuille clients à forte valeur ajoutée
Détecter des opportunités sur des besoins Life Sci"
0787088,Chef(fe) de projet expérimenté(e) F/H - Projets scientifiques et techniques (H/F),Business Intelligence,2026-03-26,SOLUTEC,CDI,3-5 ans,Cadre,,,,Toulouse,31,Occitanie,Autres activités informatiques,"Descriptif du poste:


Aubay Solutec Toulouse cherche un(e) chef(fe) de projet expérimenté(e) qui interviendra sur des projets ambitieux et innovants.

Aubay Solutec recherche un(e)  chef(fe) de projet expérimenté(e)  pour travailler dans un environnement grands comptes. Vos missions seront :

Cadrage du projet
Gestion du budget, du planning, et des ressources du projet
Conception du cahier des charges avec le Business Analyst
Animation de COPIL, COPROJ et autres instances projet
Coordination de"
0792656,Analyste BI (H/F),Business Intelligence,2026-03-26,,CDI,Débutant,,,,,Non précisé,93,Île-de-France,Non précisé,"Description du poste :
En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums.
L'entreprise EDF recherche actuellement des profils Cette année, faites partie des 5000 stagiaires à rejoindre le groupe EDF !
Et pourquoi pas la Direction Optimisation Amont/Aval & Trading (DOAAT Vous rejoindrez la DOAAT, la d"
0697123,ALTERNANCE - Ingénieure / Ingénieur Développeur Business Intelligence F/H,Business Intelligence,2026-03-25,,CDI,Non précisé,Manœuvre,,,,Lezennes,59,Hauts-de-France,Non précisé,"
            Votre environnement          Au sein de la Direction COMMERCE vous rejoignez une équipe engagée et solidaire. Une tutrice ou un tuteur vous accompagnera tout au long de votre alternance d’une durée de 36 mois.Vos missionsAu sein d’une équipe de 5 personnes, vous participerez activement au développement et à l'amélioration de nos outils BI, avec un impact direct sur les équipes opérationnelles. Vos missions incluront :- Concevoir, développer et améliorer des applications et dashboard"
205YWFP,Développeur BI (H/F),Business Intelligence,2026-03-25,DIGITRIPS,CDI,3-5 ans,Cadre,,,,Rillieux-La-Pape,69,Auvergne-Rhône-Alpes,Activités des voyagistes,"Digitrips est une Travel Tech française créée en 2015. Nos solutions de distribution de voyage en ligne permettent à nos clients B2B (agences de voyages..) et B2B2C (acteurs du e-commerce, comités d'entreprise.) de développer leurs ventes de voyages (billets d'avion, hôtels, séjours, voitures, etc.). Nos 250 collaborateurs, passionnés de voyage et/ou de tech œuvrent chaque jour pour fournir à nos clients des solutions innovantes et leur permettre de proposer les meilleures expériences aux voyage"
0722235,Développeur BI (H/F),Business Intelligence,2026-03-25,,CDI,Débutant,,,,,Non précisé,92,Île-de-France,Non précisé,"Description du poste :
En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums.
L'entreprise Sopra Steria recherche actuellement des profils :
Description de l'entreprise
Sopra Steria, acteur majeur de la Tech en Europe, avec 51000 collaborateurs dans près de 30 pays, est reconnu pour ses activités de cons"
0718440,ALTERNANCE - Master 2 - Analyste Stratégie et Business Model F/H (H/F),Business Intelligence,2026-03-25,,CDD,Débutant,,,,,Paris,75,Île-de-France,Non précisé,"Date de début: 1 septembre Rythme : Présence hebdomadaire en entreprise  Exprimez votre potentiel au sein d'un groupe engagé pour un avenir durable. Chez EDF, chaque énergie compte. En rejoignant notre entreprise, vous intégrez un collectif où chacun peut apprendre, contribuer et grandirVotre environnement: Au sein de la Direction Stratégie et Développement, département Développement Marché de Masse vous rejoignez une équipe engagée et solidaire. Une tutrice ou un tuteur vous accompagnera tout a"
0714482,Alternance Business developer Septembre 2026 - Lyon (F/H) (H/F),Business Intelligence,2026-03-25,,CDD,Débutant,,,,,Lyon,69,Auvergne-Rhône-Alpes,Non précisé,"Missions: Prospection commerciale : Développer un portefeuille en identifiant de nouveaux prospects et en obtenant des rendez-vous qualifiés auprès de hauts décideurs (Directions Générales, Financières, RHQualification des cibles : Contribuer à l'enrichissement et à la mise à jour du CRM (Salesforce), en identifiant les bons interlocuteurs et en qualifiant leurs besoins. 
Multicanal : Utilisation de l'ensemble des canaux à votre disposition (cold calling, réseaux sociaux, mailingOrganisation des"
0712235,Alternance Business Developer B2B - Montgeron (F/H) (H/F),Business Intelligence,2026-03-25,,CDD,Débutant,,,,,Montgeron,91,Île-de-France,Non précisé,"Prospection & développement commercial
Identifier et contacter de nouveaux professionnels de santé (gynécologues, sages femmes, kinés.)
Prospecter via LinkedIn, email et téléphone
Qualifier les prospects et générer des rendez-vous commerciaux (CRM)
Growth & acquisition
Participer à la mise en place de stratégies de prospection
Identifier de nouveaux partenariats
Contribuer au développement du marché français et européen
Visibilité & marketing
Participer à la création de contenus (LinkedIn, newsl"
0713338,Alternance Business developer (SaaS IA) - Paris (F/H) (H/F),Business Intelligence,2026-03-25,,CDD,Débutant,,,,,Paris,75,Île-de-France,Non précisé,"Vos missions pour le poste :Identifier et contacter de manière proactive des prospects via différents canaux, notamment par appels sortants.Faire de la prospection téléphonique Qualifier les leads et analyser leurs besoins afin d'évaluer l'adéquation avec les solutions.
Collaborer étroitement avec l'équipe commerciale pour planifier des rendez-vous et alimenter le pipeline de ventes.
Maintenir des informations précises et à jour dans le CRM.
Réaliser des études de marché pour identifier les tend"
0652883,"Business analyst juridique - F/H - Droit, fiscalité (H/F)",Business Intelligence,2026-03-24,Fiducial,CDI,3-5 ans,Cadre,,,,Lyon,69,Auvergne-Rhône-Alpes,Conseil en systèmes et logiciels informatiques,"Descriptif du poste:


Rattaché au Product Manager, dans une équipe de 8 personnes, vos missions sont les suivantes :
- Analyser les besoins métiers des études notariales et les traduire en spécifications fonctionnelles pour les équipes de développement.
- Participer à la conception et à l'évolution des solutions logicielles dédiées aux notaires.
- Assurer la liaison entre les utilisateurs (notaires, clercs) et les équipes techniques.
- Contribuer à la documentation et à la formation interne.
Vo"
0620168,ALTERNANCE - Ingénieur(e) Développeur Business Intelligence F/H (H/F),Business Intelligence,2026-03-23,EDF,CDD,Débutant,,,,,Lille,59,Hauts-de-France,Production d'électricité,"Vos missions
Au sein d'une équipe de 5 personnes, vous participerez activement au développement et à l'amélioration de nos outils BI, avec un impact direct sur les équipes opérationnelles. Vos missions incluront :
- Concevoir, développer et améliorer des applications et dashboards BI
- Analyser, modéliser et structurer les données pour optimiser leur exploitation
- Rédiger des cahiers des charges en lien avec les besoins métiers
- Documenter les solutions développées (technique & utilisateur
- P"
0572473,Business Process Owner Production (F/H) (H/F),Business Intelligence,2026-03-21,Agrial,CDI,1-2 ans,,,,,Nantes,44,Pays de la Loire,Fabrication de lait liquide et de produits frais,"Business Process Owner Production (F/H) 

 

 

Vivez une expérience humaine passionnante

Participez à la transformation digitale de notre entreprise ! Devenez Business Process Owner (référent métier production) et contribuez à la convergence de nos ERP. Cette mission vous permettra de vos compétences en gestion de processus, conduite du changement et pilotage de projets transverses, tout en renforçant votre vision globale et votre influence au sein de l'entreprise.

Vos missions principales

D"
0602061,Développeur BI (H/F),Business Intelligence,2026-03-21,,Intérim,Débutant,,,,,Hasparren,64,Nouvelle-Aquitaine,Activités des agences de travail temporaire,"Description du poste Créer, maintenir et optimiser des bases de données relationnelles avec des outils tel que SQL Server et SQL Developer.***Analyser les besoins des utilisateurs et rédiger les spécifications fonctionnelles et techniques.***Optimiser les requêtes SQL pour améliorer les performances des applications.***Concevoir et écrire des requêtes SQL complexes (jointures, sous-requêtes, agrégations, etc Définir des solutions avec les outils adaptés en fonction du besoin métier.***Assurer l'"
205TJVQ,Business developer B To B H/F,Business Intelligence,2026-03-20,,CDD,Débutant,Employé qualifié,,,,Anzin,59,Hauts-de-France,Conseil en systèmes et logiciels informatiques,"Proch Emploi recherche pour son client un(e) Business developer B To B H/F. Vos missions : Développement commercial : Prospection active (cold calling, emails, LinkedIn), qualification de leads (PME, ETI, grands comptes), présentation de la solution (démos, rendez-vous), gestion du cycle de vente complet. Stratégie et analyse : Participation aux études de marché, analyse des performances commerciales, proposition d'axes d'amélioration. Collaboration transverse : Travail avec les équipes Marketin"
205SMHW,Lead IT Business Analyst - e-Commerce / Mobile App (H/F),Business Intelligence,2026-03-20,INFORMATIS TECHNOLOGY SYSTM,CDI,3-5 ans,Cadre,50000.0,60000.0,55000.0,Paris,75,Île-de-France,Conseil en systèmes et logiciels informatiques,"Au sein de la Digital Factory et de la Direction IT d'un acteur majeur du digital, vous intervenez en tant que Lead Business Analyst sur le périmètre e-Commerce et Mobile App.

Vous rejoignez l'équipe Business Analysis e-Commerce, dont l'objectif est de concevoir et améliorer une expérience utilisateur omnicanale innovante.

Vos missions
Pilotage & coordination
- Encadrer et accompagner une équipe de 2 Business Analysts Mobile App
- Participer au pilotage des sujets e-Commerce et mobile
- Collab"
0497391,Développeur / Développeuse décisionnel - Business Intelligence (H/F),Business Intelligence,2026-03-19,,CDI,3-5 ans,,,,,Champigny-Sur-Marne,94,Île-de-France,Non précisé,"Description du poste :
Rattaché à la direction, vous intervenez sur l'ensemble de la chaîne de valorisation de la donnée afin d'améliorer le pilotage de l'activité industrielle.
À ce titre, vos principales missions sont Concevoir, développer et maintenir des tableaux de bord automatisés pour le suivi des indicateurs de performance
* Structurer et fiabiliser les extractions de données issues de différents systèmes
* Développer des analyses avancées pour accompagner la prise de décision
* Mettre e"
